conm,quarter,firm,tpuashare
MOLYCORP INC,2013q2,MCPIQ,0
SUPERIOR ENERGY SERVICES INC,2013q2,SPN,0
ULTRA PETROLEUM CORP,2013q2,UPLC,0
INVESCO MORTGAGE CAPITAL INC,2013q2,IVR,0
TELEFLEX INC,2013q2,TFX,0
SYNTA PHARMACEUTICALS CORP,2013q2,SNTA,0
WILLDAN GROUP INC,2013q2,WLDN,0
TREX CO INC,2013q2,TREX,0
MAXIM INTEGRATED PRODUCTS,2013q2,MXIM,0
PRECISION CASTPARTS CORP,2013q2,PCP,0
VULCAN MATERIALS CO,2013q2,VMC,0
JAMES RIVER COAL CO,2013q2,JRCCQ,0
CORNERSTONE ONDEMAND INC,2013q2,CSOD,0
STEIN MART INC,2013q2,SMRT,0
PCTEL INC,2013q2,PCTI,0
IPG PHOTONICS CORP,2013q2,IPGP,0
GLATFELTER,2013q2,GLT,0
TIME WARNER INC,2013q2,TWX,0
VORNADO REALTY TRUST,2013q2,VNO,0
RESMED INC,2013q2,RMD,0
ROCKWOOD HOLDINGS INC,2013q2,ROC,0
AMERICAN VANGUARD CORP,2013q2,AVD,0
MENTOR GRAPHICS CORP,2013q2,MENT,0
EMPLOYERS HOLDINGS INC,2013q2,EIG,0
FINISAR CORP,2013q2,FNSR,0
ASPEN TECHNOLOGY INC,2013q2,AZPN,0
PRGX GLOBAL INC,2013q2,PRGX,0
SKULLCANDY INC,2013q2,SKUL,0
SCHWEITZER-MAUDUIT INTL INC,2013q2,SWM,0
CENTURY ALUMINUM CO,2013q2,CENX,0
CON-WAY INC,2013q2,CNW,0
PEPSICO INC,2013q2,PEP,0
CAFEPRESS INC,2013q2,PRSS,0
HORNBECK OFFSHORE SVCS INC,2013q2,HOS,0
CONN'S INC,2013q2,CONN,0
CHEMTURA CORP,2013q2,CHMT,0
NUSTAR ENERGY LP,2013q2,NS,0
UNITED THERAPEUTICS CORP,2013q2,UTHR,0
HILLENBRAND INC,2013q2,HI,0
RAVEN INDUSTRIES INC,2013q2,RAVN,0
ANALYSTS INTERNATIONAL CORP,2013q2,ANLY,0
LOWE'S COS INC,2013q2,LOW,0
UNITEDHEALTH GROUP INC,2013q2,UNH,0
8X8 INC,2013q2,EGHT,0
GEOSPACE TECHNOLOGIES CORP,2013q2,GEOS,0
MICROSEMI CORP,2013q2,MSCC,0
FEDERAL REALTY INVESTMENT TR,2013q2,FRT,0
FIRST DATA CORP,2013q2,FDC,0
TELENAV INC,2013q2,TNAV,0
SYNNEX CORP,2013q2,SNX,0
TOWERSTREAM CORP,2013q2,TWER,0
RESOLUTE ENERGY CORP,2013q2,REN,0
THERMO FISHER SCIENTIFIC INC,2013q2,TMO,0
ACCURIDE CORP,2013q2,ACW,0
ROWAN COMPANIES PLC,2013q2,RDC,0
MATTERSIGHT CORP,2013q2,MATR,0
RLJ LODGING TRUST,2013q2,RLJ,0
KIOR INC,2013q2,KIORQ,0
PROVIDENCE SERVICE CORP,2013q2,PRSC,0
SOLAR SENIOR CAPITAL LTD,2013q2,SUNS,0
LEGGETT & PLATT INC,2013q2,LEG,0
LANTHEUS MEDICAL IMAGING INC,2013q2,5591B,0
EXACTECH INC,2013q2,EXAC,0
TEXTRON INC,2013q2,TXT,0
QUIKSILVER INC,2013q2,ZQKSQ,0
NASH FINCH CO,2013q2,NAFC,0
ARCTIC CAT INC,2013q2,ACAT,0
PALO ALTO NETWORKS INC,2013q2,PANW,0
BOOZ ALLEN HAMILTON HLDG CP,2013q2,BAH,0
SEMTECH CORP,2013q2,SMTC,0
HAEMONETICS CORP,2013q2,HAE,0
AMERESCO INC,2013q2,AMRC,0
ZUMIEZ INC,2013q2,ZUMZ,0
STAPLES INC,2013q2,SPLS,0
AXIALL CORP,2013q2,AXLL,0
TWIN DISC INC,2013q2,TWIN,0
ICAHN ENTERPRISES LP,2013q2,IEP,0
DOLE FOOD CO INC,2013q2,DOLE,0
SYSTEMAX INC,2013q2,SYX,0
TARGACEPT INC,2013q2,TRGT,0
VENTAS INC,2013q2,VTR,0
BIOMET INC,2013q2,5938B,0
HEICO CORP,2013q2,HEI,0
ACI WORLDWIDE INC,2013q2,ACIW,0
UNDER ARMOUR INC,2013q2,UAA,0
CASEYS GENERAL STORES INC,2013q2,CASY,0
ARCHER-DANIELS-MIDLAND CO,2013q2,ADM,0
LENNOX INTERNATIONAL INC,2013q2,LII,0
FORWARD AIR CORP,2013q2,FWRD,0
CELANESE CORP,2013q2,CE,0
STEMCELLS INC,2013q2,STEM,0
CHATHAM LODGING TRUST,2013q2,CLDT,0
CLEARWATER PAPER CORP,2013q2,CLW,0
SILGAN HOLDINGS INC,2013q2,SLGN,0
MONOTYPE IMAGING HOLDINGS,2013q2,TYPE,0
ORACLE CORP,2013q2,ORCL,0
HARDINGE INC,2013q2,HDNG,0
NOVAVAX INC,2013q2,NVAX,0
NORTHERN TIER ENERGY LP,2013q2,NTI,0
PRICESMART INC,2013q2,PSMT,0
BARNES & NOBLE INC,2013q2,BKS,0
ALTRIA GROUP INC,2013q2,MO,0
ULTIMATE SOFTWARE GROUP INC,2013q2,ULTI,0
HARVARD BIOSCIENCE INC,2013q2,HBIO,0
GLOBAL PARTNERS LP,2013q2,GLP,0
EAGLE MATERIALS INC,2013q2,EXP,0
FRANKLIN STREET PROPERTIES,2013q2,FSP,0
IMMERSION CORP,2013q2,IMMR,0
MARSH & MCLENNAN COS,2013q2,MMC,0
WESTERN DIGITAL CORP,2013q2,WDC,0
REIS INC,2013q2,REIS,0
GULFPORT ENERGY CORP,2013q2,GPOR,0
FAIRPOINT COMMUNICATIONS INC,2013q2,FRP,0
MATTRESS FIRM HOLDING CORP,2013q2,MFRM,0
MONSTER WORLDWIDE INC,2013q2,MWW,0
AEHR TEST SYSTEMS,2013q2,AEHR,0
LINDSAY CORP,2013q2,LNN,0
TRW AUTOMOTIVE HOLDINGS CORP,2013q2,TRW,0
AIRCASTLE LTD,2013q2,AYR,0
ZILLOW GROUP INC,2013q2,Z,0
BIG 5 SPORTING GOODS CORP,2013q2,BGFV,0
DOMTAR CORP,2013q2,UFS,0
WORTHINGTON INDUSTRIES,2013q2,WOR,0
RED HAT INC,2013q2,RHT,0
MOTOROLA SOLUTIONS INC,2013q2,MSI,0
TETRA TECH INC,2013q2,TTEK,0
MULTIBAND CORP,2013q2,MBND,0
UNITED RENTALS INC,2013q2,URI,0
UNISYS CORP,2013q2,UIS,0
HOOKER FURNITURE CORP,2013q2,HOFT,0
RADNET INC,2013q2,RDNT,0
GENERAL CABLE CORP/DE,2013q2,BGC,0
SHOE CARNIVAL INC,2013q2,SCVL,0
DSP GROUP INC,2013q2,DSPG,0
REMY INTERNATIONAL INC,2013q2,REMY,0
BERRY GLOBAL GROUP INC,2013q2,BERY,0
SABRA HEALTH CARE REIT INC,2013q2,SBRA,0
SEATTLE GENETICS INC,2013q2,SGEN,0
STERLING CONSTRUCTION CO INC,2013q2,STRL,0
ARLINGTON ASSET INVESTMENT,2013q2,AI,0
RBC BEARINGS INC,2013q2,ROLL,0
QLOGIC CORP,2013q2,QLGC,0
AECOM,2013q2,ACM,0
J & J SNACK FOODS CORP,2013q2,JJSF,0
CALLAWAY GOLF CO,2013q2,ELY,0
ENDEAVOUR INTERNATIONAL CORP,2013q2,ENDRQ,0
XPO LOGISTICS INC,2013q2,XPO,0
SALIX PHARMACEUTICALS LTD,2013q2,SLXP,0
FRANKLIN ELECTRIC CO INC,2013q2,FELE,0
LIGAND PHARMACEUTICAL INC,2013q2,LGND,0
EZCORP INC  -CL A,2013q2,EZPW,0
TESLA INC,2013q2,TSLA,0
BUNGE LTD,2013q2,BG,0
FIESTA RESTAURANT GROUP INC,2013q2,FRGI,0
LEXINGTON REALTY TRUST,2013q2,LXP,0
SUNOCO LOGISTICS PARTNERS LP,2013q2,SXL,0
WAUSAU PAPER CORP,2013q2,WPP.2,0
SIRONA DENTAL SYSTEMS INC,2013q2,SIRO,0
WORLD WRESTLING ENTMT INC,2013q2,WWE,0
TIFFANY & CO,2013q2,TIF,0
RHINO RESOURCE PARTNERS LP,2013q2,RHNO,0
INTL BUSINESS MACHINES CORP,2013q2,IBM,0
UNIVERSAL HEALTH SVCS INC,2013q2,UHS,0
DIRECTV,2013q2,DTV.2,0
PLANAR SYSTEMS INC,2013q2,PLNR,0
MDC HOLDINGS INC,2013q2,MDC,0
STAMPS.COM INC,2013q2,STMP,0
NATIONAL CINEMEDIA INC,2013q2,NCMI,0
COBRA ELECTRONICS CORP,2013q2,COBR,0
HYSTER-YALE MATERIALS HNDLNG,2013q2,HY,0
ATMI INC,2013q2,ATMI,0
CHIPOTLE MEXICAN GRILL INC,2013q2,CMG,0
SMITH MICRO SOFTWARE INC,2013q2,SMSI,0
SCHNITZER STEEL INDS  -CL A,2013q2,SCHN,0
PACCAR INC,2013q2,PCAR,0
WARREN RESOURCES INC,2013q2,WRESQ,0
CHARLES RIVER LABS INTL INC,2013q2,CRL,0
LAS VEGAS SANDS CORP,2013q2,LVS,0
SUPER MICRO COMPUTER INC,2013q2,SMCI,0
SM ENERGY CO,2013q2,SM,0
POLYCOM INC,2013q2,PLCM,0
HOUSTON WIRE & CABLE CO,2013q2,HWCC,0
SMITH (A.O.),2013q2,AOS,0
AMERISOURCEBERGEN CORP,2013q2,ABC,0
KOPPERS HOLDINGS INC,2013q2,KOP,0
VIACOM INC,2013q2,VIAB,0
HALCON RESOURCES CORP,2013q2,HKRSQ,0
BAZAARVOICE INC,2013q2,BV.1,0
FRESH MARKET INC,2013q2,TFM,0
EQUIFAX INC,2013q2,EFX,0
HILL INTERNATIONAL INC,2013q2,HIL,0
ZEP INC,2013q2,ZEP,0
HALLIBURTON CO,2013q2,HAL,0
ATHENAHEALTH INC,2013q2,ATHN,0
MCDERMOTT INTL INC,2013q2,MDR,0
CHIMERIX INC,2013q2,CMRX,0
BRISTOL-MYERS SQUIBB CO,2013q2,BMY,0
SUMMIT MIDSTREAM PARTNERS LP,2013q2,SMLP,0
EMULEX CORP,2013q2,ELX,0
AVIAT NETWORKS INC,2013q2,AVNW,0
MICROSOFT CORP,2013q2,MSFT,0
TITAN MACHINERY INC,2013q2,TITN,0
VIASAT INC,2013q2,VSAT,0
TRIPADVISOR INC,2013q2,TRIP,0
SOLARCITY CORP,2013q2,SCTY,0
NORTHSTAR REALTY FINANCE CP,2013q2,NRF,0
ZYNEX INC,2013q2,ZYXI,0
UNIVERSAL FOREST PRODS INC,2013q2,UFPI,0
NORTHROP GRUMMAN CORP,2013q2,NOC,0
KEY ENERGY SERVICES INC,2013q2,KEG,0
ROADRUNNER TRANS SYSTEMS INC,2013q2,RRTS,0
EAGLE BULK SHIPPING INC,2013q2,EGLE,0
EMCORE CORP,2013q2,EMKR,0
ALBANY MOLECULAR RESH INC,2013q2,AMRI,0
TTM TECHNOLOGIES INC,2013q2,TTMI,0
IGATE CORP,2013q2,IGTE,0
SYNACOR INC,2013q2,SYNC,0
VIRTUSA CORP,2013q2,VRTU,0
INSULET CORP,2013q2,PODD,0
MERRIMACK PHARMACEUTICALS,2013q2,MACK,0
SPS COMMERCE INC,2013q2,SPSC,0
ACME UNITED CORP,2013q2,ACU,0
KELLOGG CO,2013q2,K,0
DELCATH SYSTEMS INC,2013q2,DCTH,0
BUILDERS FIRSTSOURCE,2013q2,BLDR,0
IPAYMENT INC,2013q2,0030B,0
AMN HEALTHCARE SERVICES INC,2013q2,AMN,0
HANSEN MEDICAL INC,2013q2,HNSN,0
KMG CHEMICALS INC,2013q2,KMG,0
AIR METHODS CORP,2013q2,AIRM,0
WEYERHAEUSER CO,2013q2,WY,0
VECTOR GROUP LTD,2013q2,VGR,0
UNION PACIFIC CORP,2013q2,UNP,0
DARDEN RESTAURANTS INC,2013q2,DRI,0
WORKDAY INC,2013q2,WDAY,0
SENSIENT TECHNOLOGIES CORP,2013q2,SXT,0
POLYPORE INTERNATIONAL INC,2013q2,PPO,0
AMERIGAS PARTNERS  -LP,2013q2,APU,0
CALLON PETROLEUM CO/DE,2013q2,CPE,0
OMNICARE INC,2013q2,OCR,0
CITRIX SYSTEMS INC,2013q2,CTXS,0
BALL CORP,2013q2,BLL,0
GRIFFON CORP,2013q2,GFF,0
INNERWORKINGS INC,2013q2,INWK,0
REALNETWORKS INC,2013q2,RNWK,0
ION GEOPHYSICAL CORP,2013q2,IO,0
CABOT OIL & GAS CORP,2013q2,COG,0
ONVIA INC,2013q2,ONVI,0
MACERICH CO,2013q2,MAC,0
TRINITY INDUSTRIES,2013q2,TRN,0
LA-Z-BOY INC,2013q2,LZB,0
WABASH NATIONAL CORP,2013q2,WNC,0
HEALTHSTREAM INC,2013q2,HSTM,0
RENTRAK CORP,2013q2,RENT,0
MERITOR INC,2013q2,MTOR,0
CONCUR TECHNOLOGIES INC,2013q2,CNQR,0
POKERTEK INC,2013q2,PTEK,0
SILICON IMAGE INC,2013q2,SIMG,0
PINNACLE FOODS INC,2013q2,PF,0
DENNYS CORP,2013q2,DENN,0
RADISYS CORP,2013q2,RSYS,0
NIC INC,2013q2,EGOV,0
APOLLO RESIDENTIAL MTG INC,2013q2,AMTG,0
CEDAR FAIR  -LP,2013q2,FUN,0
PRIMERICA INC,2013q2,PRI,0
AETNA INC,2013q2,AET,0
JONES LANG LASALLE INC,2013q2,JLL,0
HUMANA INC,2013q2,HUM,0
AMERCO,2013q2,UHAL,0
MINERALS TECHNOLOGIES INC,2013q2,MTX,0
ROLLINS INC,2013q2,ROL,0
ASTRONICS CORP,2013q2,ATRO,0
WAYSIDE TECHNOLOGY GROUP INC,2013q2,WSTG,0
MAXIMUS INC,2013q2,MMS,0
RAYTHEON CO,2013q2,RTN,0
COMMUNITY HEALTH SYSTEMS INC,2013q2,CYH,0
WILLBROS GROUP INC,2013q2,WGRP,0
KADANT INC,2013q2,KAI,0
VIVUS INC,2013q2,VVUS,0
RUCKUS WIRELESS INC,2013q2,RKUS,0
HOLLY ENERGY PARTNERS LP,2013q2,HEP,0
AMERICA'S CAR-MART INC,2013q2,CRMT,0
FIRST AMERICAN FINANCIAL CP,2013q2,FAF,0
DURECT CORP,2013q2,DRRX,0
EXA CORP,2013q2,EXA,0
FAMOUS DAVES OF AMERICA INC,2013q2,DAVE,0
ZOGENIX INC,2013q2,ZGNX,0
VOCERA COMMUNICATIONS INC,2013q2,VCRA,0
HELIX ENERGY SOLUTIONS GROUP,2013q2,HLX,0
SHUTTERFLY INC,2013q2,SFLY,0
LITTELFUSE INC,2013q2,LFUS,0
THORATEC CORP,2013q2,THOR.1,0
SKILLED HEALTHCARE GROUP INC,2013q2,SKH,0
TENET HEALTHCARE CORP,2013q2,THC,0
CABOT MICROELECTRONICS CORP,2013q2,CCMP,0
SURMODICS INC,2013q2,SRDX,0
NCI INC,2013q2,NCIT,0
ZHONE TECHNOLOGIES INC,2013q2,ZHNE,0
RPX CORP,2013q2,RPXC,0
NEWMARKET CORP,2013q2,NEU,0
COMSTOCK RESOURCES INC -OLD,2013q2,CRK.5,0
THESTREET INC,2013q2,TST,0
REPUBLIC AIRWAYS HLDGS INC,2013q2,RJETQ,0
COMTECH TELECOMMUN,2013q2,CMTL,0
SPORT CHALET INC,2013q2,SPCHA,0
HOVNANIAN ENTRPRS INC  -CL A,2013q2,HOV,0
UNIT CORP,2013q2,UNT,0
CENTURYLINK INC,2013q2,CTL,0
NATURAL GAS SERVICES GROUP,2013q2,NGS,0
CONSTELLATION BRANDS,2013q2,STZ,0
GTX INC,2013q2,GTXI,0
MARCHEX INC,2013q2,MCHX,0
AMC NETWORKS INC,2013q2,AMCX,0
DIEBOLD NIXDORF INC,2013q2,DBD,0
PENN NATIONAL GAMING INC,2013q2,PENN,0
HANESBRANDS INC,2013q2,HBI,0
STEELCASE INC,2013q2,SCS,0
ARAMARK,2013q2,ARMK,0
SCHOLASTIC CORP,2013q2,SCHL,0
GREIF INC  -CL A,2013q2,GEF,0
UNIVERSAL ELECTRONICS INC,2013q2,UEIC,0
CAI INTERNATIONAL INC,2013q2,CAI,0
SONIC AUTOMOTIVE INC  -CL A,2013q2,SAH,0
STARTEK INC -OLD,2013q2,SRT.2,0
QUAD/GRAPHICS INC,2013q2,QUAD,0
SYMANTEC CORP,2013q2,SYMC,0
SERVICENOW INC,2013q2,NOW,0
AEROVIRONMENT INC,2013q2,AVAV,0
AVX CORP,2013q2,AVX,0
WALMART INC,2013q2,WMT,0
FINISH LINE INC  -CL A,2013q2,FINL,0
STONERIDGE INC,2013q2,SRI,0
II-VI INC,2013q2,IIVI,0
PS BUSINESS PARKS,2013q2,PSB,0
AMERISAFE INC,2013q3,AMSF,0
GRACE (W R) & CO,2013q3,GRA,0
ATLAS AIR WORLDWIDE HLDG INC,2013q3,AAWW,0
MDC HOLDINGS INC,2013q3,MDC,0
CABOT MICROELECTRONICS CORP,2013q3,CCMP,0
IPG PHOTONICS CORP,2013q3,IPGP,0
NASH FINCH CO,2013q3,NAFC,0
CARNIVAL CORP/PLC (USA),2013q3,CCL,0
OLD DOMINION FREIGHT,2013q3,ODFL,0
WORTHINGTON INDUSTRIES,2013q3,WOR,0
CIGNA CORP,2013q3,CI,0
PENFORD CORP,2013q3,PENX,0
HEADWATERS INC,2013q3,HW,0
STONE ENERGY CORP,2013q3,SGY,0
MWI VETERINARY SUPPLY,2013q3,MWIV,0
SUNEDISON INC,2013q3,SUNEQ,0
PULSE ELECTRONICS CORP,2013q3,PULS.1,0
JOE'S JEANS INC,2013q3,JOEZ,0
A. H. BELO CORP,2013q3,AHC,0
GENERAC HOLDINGS INC,2013q3,GNRC,0
CAREFUSION CORP,2013q3,CFN,0
ENTEGRIS INC,2013q3,ENTG,0
CONN'S INC,2013q3,CONN,0
VORNADO REALTY TRUST,2013q3,VNO,0
HEALTHCARE SERVICES GROUP,2013q3,HCSG,0
CATALENT PHARMA SOLUTIONS,2013q3,5051B,0
DELCATH SYSTEMS INC,2013q3,DCTH,0
OASIS PETROLEUM INC,2013q3,OAS,0
ADDUS HOMECARE CORP,2013q3,ADUS,0
ALEXANDER'S INC,2013q3,ALX,0
ROBERT HALF INTL INC,2013q3,RHI,0
LIQUIDMETAL TECHNOLOGIES,2013q3,LQMT,0
BUFFALO WILD WINGS INC,2013q3,BWLD,0
HUDSON GLOBAL INC,2013q3,HSON,0
SPROUTS FARMERS MARKET,2013q3,SFM,0
AVALONBAY COMMUNITIES INC,2013q3,AVB,0
AUXILIUM PHARMA INC,2013q3,AUXL,0
FULLER (H. B.) CO,2013q3,FUL,0
AMERICAN WOODMARK CORP,2013q3,AMWD,0
PERICOM SEMICONDUCTOR CORP,2013q3,PSEM,0
BRUKER CORP,2013q3,BRKR,0
BIOANALYTICAL SYSTEMS INC,2013q3,BASI,0
FIVE BELOW INC,2013q3,FIVE,0
AZZ INC,2013q3,AZZ,0
DURECT CORP,2013q3,DRRX,0
UNUM GROUP,2013q3,UNM,0
BIOMARIN PHARMACEUTICAL INC,2013q3,BMRN,0
HYSTER-YALE MATERIALS HNDLNG,2013q3,HY,0
RANGE RESOURCES CORP,2013q3,RRC,0
TELEPHONE & DATA SYSTEMS INC,2013q3,TDS,0
AUTONATION INC,2013q3,AN,0
TRIQUINT SEMICONDUCTOR INC,2013q3,TQNT,0
LIN MEDIA LLC,2013q3,LIN.1,0
EXPONENT INC,2013q3,EXPO,0
ABRAXAS PETROLEUM CORP/NV,2013q3,AXAS,0
EMULEX CORP,2013q3,ELX,0
SMITH MICRO SOFTWARE INC,2013q3,SMSI,0
ACCURIDE CORP,2013q3,ACW,0
AIR METHODS CORP,2013q3,AIRM,0
AVERY DENNISON CORP,2013q3,AVY,0
PDC ENERGY INC,2013q3,PDCE,0
SAIA INC,2013q3,SAIA,0
NORTHERN TECH INTL,2013q3,NTIC,0
MYRIAD GENETICS INC,2013q3,MYGN,0
INTUIT INC,2013q3,INTU,0
MID-CON ENERGY PARTNERS -LP,2013q3,MCEP,0
MATRIX SERVICE CO,2013q3,MTRX,0
AMERICAN ASSETS TRUST INC,2013q3,AAT,0
LIME ENERGY CO,2013q3,LIME,0
KMG CHEMICALS INC,2013q3,KMG,0
RHINO RESOURCE PARTNERS LP,2013q3,RHNO,0
HALCON RESOURCES CORP,2013q3,HKRSQ,0
APPLIED MATERIALS INC,2013q3,AMAT,0
CHIPOTLE MEXICAN GRILL INC,2013q3,CMG,0
ITT EDUCATIONAL SERVICES INC,2013q3,ESINQ,0
WPX ENERGY INC,2013q3,WPX,0
NATIONAL CINEMEDIA INC,2013q3,NCMI,0
BLUE NILE INC,2013q3,NILE,0
CAPELLA EDUCATION CO,2013q3,CPLA,0
FAMOUS DAVES OF AMERICA INC,2013q3,DAVE,0
CIENA CORP,2013q3,CIEN,0
CHESAPEAKE ENERGY CORP,2013q3,CHK,0
UNITED ONLINE INC,2013q3,UNTD,0
BLACKHAWK NETWORK HLDGS INC,2013q3,HAWK,0
NBTY INC,2013q3,0170A,0
PTC THERAPEUTICS INC,2013q3,PTCT,0
PIONEER NATURAL RESOURCES CO,2013q3,PXD,0
ARGONAUT GOLD INC,2013q3,ARNGF,0
NOVAVAX INC,2013q3,NVAX,0
TRAVELZOO,2013q3,TZOO,0
WILEY (JOHN) & SONS  -CL A,2013q3,JW.A,0
ELECTRO SCIENTIFIC INDS INC,2013q3,ESIO,0
MRC GLOBAL INC,2013q3,MRC,0
AVANIR PHARMACEUTICALS INC,2013q3,AVNR,0
ROCKWELL AUTOMATION,2013q3,ROK,0
ALLEGIANT TRAVEL CO,2013q3,ALGT,0
CONTROL4 CORP,2013q3,CTRL,0
MCDONALD'S CORP,2013q3,MCD,0
EPR PROPERTIES,2013q3,EPR,0
STEEL DYNAMICS INC,2013q3,STLD,0
ARMSTRONG WORLD INDUSTRIES,2013q3,AWI,0
AFLAC INC,2013q3,AFL,0
BAKER HUGHES INC,2013q3,BHI,0
INFOBLOX INC,2013q3,BLOX,0
BROOKDALE SENIOR LIVING INC,2013q3,BKD,0
CUBIC CORP,2013q3,CUB,0
BADGER METER INC,2013q3,BMI,0
PROSPECT CAPITAL CORP,2013q3,PSEC,0
MERCURY GENERAL CORP,2013q3,MCY,0
DELEK US HOLDINGS INC,2013q3,DK,0
WASHINGTON REIT,2013q3,WRE,0
BIO REFERENCE LABS,2013q3,BRLI,0
MADDEN STEVEN LTD,2013q3,SHOO,0
FRANKLIN ELECTRIC CO INC,2013q3,FELE,0
CURTISS-WRIGHT CORP,2013q3,CW,0
LKQ CORP,2013q3,LKQ,0
PVH CORP,2013q3,PVH,0
GOODYEAR TIRE & RUBBER CO,2013q3,GT,0
KAR AUCTION SERVICES INC,2013q3,KAR,0
BRISTOW GROUP INC,2013q3,BRSWQ,0
CVR PARTNERS LP,2013q3,UAN,0
TESLA INC,2013q3,TSLA,0
SYMANTEC CORP,2013q3,SYMC,0
FELCOR LODGING TRUST INC,2013q3,FCH,0
LAM RESEARCH CORP,2013q3,LRCX,0
ABIOMED INC,2013q3,ABMD,0
ABAXIS INC,2013q3,ABAX,0
CRAFT BREW ALLIANCE INC,2013q3,BREW,0
DEVON ENERGY CORP,2013q3,DVN,0
AOL INC,2013q3,AOL,0
SOLARWINDS CORP,2013q3,SWI,0
FINISAR CORP,2013q3,FNSR,0
SIX FLAGS ENTERTAINMENT CORP,2013q3,SIX,0
DIAMONDROCK HOSPITALITY CO,2013q3,DRH,0
LUBYS INC,2013q3,LUB,0
MARTIN MARIETTA MATERIALS,2013q3,MLM,0
HUDSON PACIFIC PPTYS INC,2013q3,HPP,0
RESPONSYS INC,2013q3,MKTG,0
CORINTHIAN COLLEGES INC,2013q3,COCOQ,0
U S CONCRETE INC,2013q3,USCR,0
ACCELLENT INC,2013q3,5298B,0
ALLERGAN INC,2013q3,AGN.2,0
JUNIPER NETWORKS INC,2013q3,JNPR,0
BROADRIDGE FINANCIAL SOLUTNS,2013q3,BR,0
COMMUNITY HEALTH SYSTEMS INC,2013q3,CYH,0
ALTRIA GROUP INC,2013q3,MO,0
BIOMET INC,2013q3,5938B,0
CLEARWATER PAPER CORP,2013q3,CLW,0
BLOUNT INTL INC,2013q3,BLT,0
ACCELRYS INC,2013q3,ACCL,0
QUIKSILVER INC,2013q3,ZQKSQ,0
ASPEN TECHNOLOGY INC,2013q3,AZPN,0
AEHR TEST SYSTEMS,2013q3,AEHR,0
UNITED RENTALS INC,2013q3,URI,0
AUTODESK INC,2013q3,ADSK,0
NORANDA ALUMINUM HOLDING CP,2013q3,NORNQ,0
CARBONITE INC,2013q3,CARB,0
MEDIVATION INC,2013q3,MDVN,0
DECKERS OUTDOOR CORP,2013q3,DECK,0
URBAN OUTFITTERS INC,2013q3,URBN,0
DIAMOND FOODS INC,2013q3,DMND,0
ANN INC,2013q3,ANN,0
SHORETEL INC,2013q3,SHOR,0
CROCS INC,2013q3,CROX,0
SPS COMMERCE INC,2013q3,SPSC,0
GLOBAL PARTNERS LP,2013q3,GLP,0
BROADSOFT INC,2013q3,BSFT.1,0
UNIVERSAL HEALTH SVCS INC,2013q3,UHS,0
CADENCE DESIGN SYSTEMS INC,2013q3,CDNS,0
CENTRAL GARDEN & PET CO,2013q3,CENTA,0
AUTOZONE INC,2013q3,AZO,0
BEAZER HOMES USA INC,2013q3,BZH,0
TILE SHOP HOLDINGS INC,2013q3,TTS,0
PENN VIRGINIA CORP,2013q3,PVAC,0
ALACER GOLD CORP,2013q3,ALIAF,0
CULP INC,2013q3,CULP,0
HORNBECK OFFSHORE SVCS INC,2013q3,HOS,0
ANGIODYNAMICS INC,2013q3,ANGO,0
DELTA AIR LINES INC,2013q3,DAL,0
MILLER (HERMAN) INC,2013q3,MLHR,0
TW TELECOM INC,2013q3,TWTC,0
HUB GROUP INC  -CL A,2013q3,HUBG,0
CST BRANDS INC,2013q3,CST,0
NXSTAGE MEDICAL INC,2013q3,NXTM,0
MGIC INVESTMENT CORP/WI,2013q3,MTG,0
WILLBROS GROUP INC,2013q3,WGRP,0
PENNEY (J C) CO,2013q3,JCP,0
AIRCASTLE LTD,2013q3,AYR,0
CABOT OIL & GAS CORP,2013q3,COG,0
CARDINAL HEALTH INC,2013q3,CAH,0
NCR CORP,2013q3,NCR,0
WYNN RESORTS LTD,2013q3,WYNN,0
BIOLASE INC,2013q3,BIOL,0
APTARGROUP INC,2013q3,ATR,0
BRE PROPERTIES INC,2013q3,BRE,0
BOB EVANS FARMS,2013q3,BOBE,0
QUANTUM CORP,2013q3,QMCO,0
CRYOLIFE INC,2013q3,CRY,0
II-VI INC,2013q3,IIVI,0
POST PROPERTIES INC,2013q3,PPS,0
BROCADE COMMUNICATIONS SYS,2013q3,BRCD,0
CONOCOPHILLIPS,2013q3,COP,0
WARNER MUSIC GROUP CORP,2013q3,9394B,0
BEACON ROOFING SUPPLY INC,2013q3,BECN,0
LEGACY RESERVES INC,2013q3,LGCYQ,0
CACI INTL INC  -CL A,2013q3,CACI,0
INVESCO MORTGAGE CAPITAL INC,2013q3,IVR,0
CANTEL MEDICAL CORP,2013q3,CMD,0
FACEBOOK INC,2013q3,FB,0
HERCULES OFFSHORE INC,2013q3,HEROQ,0
DEL FRISCOS RESTURNT GRP INC,2013q3,DFRG,0
AEGERION PHARMACEUTICALS INC,2013q3,AEGR,0
BRIGHT HORIZONS FAMILY SOLTN,2013q3,BFAM,0
AEGION CORP,2013q3,AEGN,0
BALLY TECHNOLOGIES INC,2013q3,BYI,0
SENIOR HOUSING PPTYS TRUST,2013q3,SNH,0
ASSURANT INC,2013q3,AIZ,0
HUMANA INC,2013q3,HUM,0
REX AMERICAN RESOURCES CORP,2013q3,REX,0
CUBESMART,2013q3,CUBE,0
WESTELL TECH INC  -CL A,2013q3,WSTL,0
LSB INDUSTRIES INC,2013q3,LXU,0
WEST CORP,2013q3,WSTC,0
